to_talk,about,595
do_you,think,593
is_on,the,592
had_to,be,591
has_to,be,591
over_the,last,590
as_it,is,588
is_the,first,588
to_do,the,588
to_pay,for,587
going_to,get,584
that_you,are,583
to_do,that,583
the_ability,to,582
the_cost,of,582
the_white,house,582
in_love,with,579
a_matter,of,577
was_not,a,577
well_as,the,577
should_not,be,575
to_work,with,575
middle_of,the,574
you_are,going,574
i_hope,you,573
in_the,area,573
i_have,ever,572
i_used,to,572
am_to,pm,571
i_was,going,570
the_other,side,570
the_story,of,570
they_have,been,570
a_piece,of,568
more_and,more,568
the_start,of,568
but_if,you,567
i_like,to,567
what_to,do,567
will_continue,to,567
want_to,do,565
that_is,the,564
a_sense,of,563
i_think,we,562
on_the,road,562
at_the,top,561
if_you,can,560
would_not,have,560
would_love,to,559
at_the,university,557
i_am,in,557
not_know,what,557
up_with,the,557
do_not,get,556
half_of,the,556
trying_to,get,556
due_to,the,555
president_barack,obama,554
the_city,of,553
are_trying,to,552
the_st,louis,551
of_the,house,550
that_he,had,550
in_the,case,549
that_is,not,549
being_able,to,548
do_not,like,548
may_not,be,547
and_that,the,546
the_amount,of,544
in_the,third,543
by_the,way,541
the_time,to,541
could_not,be,540
on_the,floor,540
for_the,last,537
the_federal,government,537
along_with,the,536
over_the,next,536
the_right,to,535
to_have,the,535
lot_of,people,534
but_they,are,533
she_did,not,532
that_there,are,532
because_they,are,530
is_a,very,529
it_hard,to,529
up_on,the,529
a_few,of,528
that_he,is,528
what_i,am,528
for_a,long,527
going_to,do,527
seem_to,be,527
the_most,important,527
to_do,this,527
looking_for,a,526
used_to,be,526
this_was,a,525
and_a,half,524
on_the,way,524
the_way,to,524
of_my,favorite,523
for_those,who,522
go_back,to,521
there_are,no,521
and_this,is,520
i_thought,it,520
in_a,way,519
of_the,people,519
out_of,a,518
can_be,a,517
thank_you,for,517
he_had,a,516
im_going,to,516
bottom_of,the,515
but_in,the,515
in_the,process,515
the_time,i,515
as_you,can,514
if_they,are,513
the_people,who,512
i_have,always,511
parts_of,the,511
in_recent,years,510
more_of,a,510
have_a,lot,509
in_the,back,509
in_the,way,509
that_will,be,508
down_to,the,507
in_the,house,507
to_have,to,507
the_majority,of,506
and_i,do,505
could_have,been,504
for_the,past,504
i_dont,think,504
to_see,how,504
of_the,same,503
one_of,his,503
was_a,little,503
and_i,had,502
to_use,the,502
for_more,information,500
no_matter,how,500
of_my,life,500
it_was,just,499
and_did,not,498
he_said,it,498
i_have,got,498
i_have,seen,497
the_time,of,497
have_got,to,496
but_i,was,495
now_i,am,495
or_at,least,495
the_only,thing,495
a_result,of,494
and_then,i,494
dont_want,to,494
is_part,of,494
a_list,of,492
and_you,can,492
in_other,words,492
is_the,only,492
for_the,rest,491
just_a,few,491
and_i,can,488
i_would,love,488
that_i,could,488
the_same,thing,488
in_the,face,486
in_the,new,486
you_know,what,486
in_this,case,485
take_care,of,485
they_will,be,485
when_i,am,485
along_the,way,484
it_going,to,483
we_had,to,483
would_be,the,483
to_the,public,482
of_the,other,481
a_handful,of,480
that_he,would,480
the_last,time,480
the_same,way,480
the_second,half,480
he_is,a,479
in_st,louis,479
that_was,the,479
that_can,be,478
two_of,the,478
and_that,is,477
first_time,in,477
and_he,was,476
as_one,of,476
do_not,need,476
the_lack,of,476
and_there,are,475
in_one,of,475
the_department,of,475
people_in,the,474
will_have,a,474
for_me,i,473
the_size,of,473
they_have,a,473
to_be,an,473
want_to,see,473
be_sure,to,472
did_not,get,472
in_the,air,472
at_the,moment,471
no_matter,what,471
there_are,some,471
and_the,other,470
there_are,many,470
to_the,point,470
it_should,be,469
a_few,minutes,468
i_was,so,467
look_forward,to,467
this_was,the,467
in_the,th,465
to_do,a,465
to_think,about,465
because_i,am,464
i_will,have,464
of_the,country,464
all_of,us,463
know_how,to,463
to_get,out,463
the_center,of,462
two_years,ago,462
get_out,of,461
some_of,my,461
thought_i,would,461
it_could,be,460
wanted_to,be,460
across_the,country,459
how_do,you,459
it_as,a,458
at_some,point,457
he_will,be,457
which_is,a,457
and_his,wife,456
known_as,the,456
and_all,the,455
it_would,have,455
you_can,get,455
the_age,of,454
with_all,the,454
a_bit,more,452
and_do,not,452
said_he,would,452
to_do,is,452
thought_it,was,451
a_look,at,450
he_has,a,450
is_the,most,450
the_chance,to,450
you_are,in,448
of_the,book,447
the_death,of,447
the_last,few,447
the_state,of,447
an_opportunity,to,446
of_course,i,446
out_of,my,446
you_have,got,446
the_past,few,445
and_i,would,444
in_new,jersey,444
was_on,the,444
the_other,day,443
to_pick,up,443
a_few,months,442
for_the,most,442
over_and,over,442
the_first,half,442
to_talk,to,441
who_has,been,441
a_time,when,440
be_on,the,440
have_to,say,440
in_the,fourth,440
the_history,of,440
the_way,i,440
to_work,on,440
people_who,are,439
each_of,the,438
on_the,ground,438
the_only,one,438
can_not,be,437
can_not,wait,437
in_the,final,437
me_and,i,437
the_heart,of,437
the_process,of,437
he_wanted,to,436
all_of,this,435
at_least,a,435
in_which,the,435
that_you,have,435
in_the,block,434
that_kind,of,434
are_a,few,432
are_looking,for,432
he_and,his,432
you_can,do,432
the_face,of,431
feel_like,i,430
here_is,a,430
i_had,the,430
it_was,an,430
so_i,have,430
there_have,been,430
be_a,good,429
we_have,got,429
you_would,like,429
that_they,were,428
what_it,is,428
to_me,and,427
day_of,the,426
it_was,so,426
on_the,back,426
to_focus,on,426
to_go,back,426
for_all,the,425
get_to,the,425
to_win,the,425
of_the,week,424
version_of,the,424
we_are,all,424
and_you,will,423
for_a,new,423
is_that,it,423
some_sort,of,423
that_i,will,423
that_it,would,423
at_one,point,422
back_of,the,422
i_am,the,422
in_the,game,422
for_at,least,421
he_wants,to,421
of_the,way,421
the_power,of,421
time_in,the,421
to_do,something,421
and_one,of,420
little_bit,of,420
executive_director,of,419
it_to,be,419
the_first,place,419
he_has,been,418
is_the,best,418
of_course,the,417
appears_to,be,416
because_it,was,416
the_need,to,416
a_total,of,415
but_there,are,415
that_has,been,415
to_get,it,415
we_can,not,415
able_to,get,414
of_the,things,414
the_importance,of,414
for_all,of,413
the_los,angeles,413
them_in,the,413
on_the,same,412
that_they,have,412
to_see,a,412
does_not,mean,411
i_am,really,411
in_an,interview,411
whether_or,not,411
you_will,find,411
but_there,is,410
here_are,some,410
what_i,have,410
because_it,is,409
for_us,to,409
have_had,a,409
so_i,can,409
and_there,is,408
as_i,was,408
was_trying,to,408
a_good,thing,407
have_to,go,407
if_i,had,406
if_it,is,406
to_find,the,406
i_tried,to,405
in_a,row,405
this_is,an,405
you_know,that,405
in_the,meantime,404
that_is,a,404
the_course,of,404
the_world,and,404
to_get,back,404
up_in,a,404
i_was,able,403
the_way,the,403
all_of,them,402
but_i,did,402
it_looks,like,402
that_she,was,402
the_best,of,402
the_new,jersey,402
of_thousands,of,401
out_on,the,400
to_have,been,400
who_do,not,400
i_got,to,399
may_have,been,399
to_me,that,399
close_to,the,397
to_be,more,397
i_am,very,395
she_was,a,395
the_s,and,395
was_not,the,395
we_are,in,395
when_they,are,395
have_no,idea,394
the_last,two,394
and_we,have,393
earlier_this,year,393
that_we,can,393
what_kind,of,393
new_york,times,392
were_able,to,392
it_will,not,391
on_how,to,391
to_be,on,391
are_expected,to,390
he_could,not,390
not_to,mention,390
we_have,had,390
will_be,in,390
is_trying,to,389
she_said,she,388
the_side,of,388
this_is,my,388
vice_president,of,388
but_this,is,387
for_them,to,387
if_i,am,387
the_first,round,387
for_you,to,386
in_a,large,386
not_to,be,386
on_to,the,386
they_have,to,386
to_try,and,386
couple_of,weeks,385
i_can,do,385
of_the,last,385
the_next,few,385
hall_of,fame,384
in_a,few,384
it_is,to,384
it_may,be,383
it_might,be,383
well_as,a,383
if_it,was,382
just_have,to,382
want_to,get,382
i_could,have,381
i_wish,i,381
in_los,angeles,381
of_a,new,381
to_become,a,381
in_favor,of,380
let_me,know,380
of_people,who,380
some_kind,of,380
the_case,of,380
they_were,not,380
i_try,to,379
not_know,how,379
here_is,the,378
i_got,a,377
is_also,a,377
of_one,of,377
back_into,the,376
just_want,to,376
the_associated,press,376
they_need,to,376
was_supposed,to,376
as_i,have,375
check_out,the,375
in_a,small,375
one_of,our,375
said_in,an,375
that_have,been,375
the_point,of,375
said_i,am,374
those_of,you,374
what_they,are,374
when_it,was,374
i_think,he,373
a_spokesman,for,372
involved_in,the,372
said_that,the,372
should_have,been,372
the_early,s,372
to_tell,you,372
up_for,the,372
if_there,is,371
men_and,women,371
to_know,that,371
but_i,will,370
i_had,been,370
of_more,than,370
some_of,them,370
a_picture,of,369
and_will,be,369
he_said,that,369
have_been,in,368
is_that,i,368
it_on,the,368
more_than,the,368
one_of,these,368
the_idea,that,368
want_to,go,368
way_to,the,368
when_she,was,368
you_have,not,368
could_be,a,367
he_would,have,367
in_san,francisco,367
more_than,years,367
want_to,make,367
and_for,the,366
that_i,do,366
that_was,a,366
to_the,next,366
to_the,top,366
up_and,down,366
you_will,not,366
and_i,know,365
do_you,have,365
he_would,be,365
i_needed,to,365
of_the,two,365
the_first,of,365
the_past,two,365
they_are,going,365
was_a,great,365
a_man,who,364
in_high,school,364
to_build,a,364
and_at,the,363
and_on,the,363
between_the,two,363
is_to,be,363
to_be,done,363
you_can,find,363
be_one,of,362
him_in,the,362
place_in,the,362
a_lot,to,361
are_not,going,361
he_was,the,361
on_the,field,361
so_you,can,361
when_you,have,361
expected_to,be,360
i_had,no,360
need_to,do,360
the_late,s,360
the_only,way,360
the_things,that,360
this_kind,of,360
we_went,to,360
he_had,been,359
i_think,this,359
that_in,the,359
they_are,the,359
and_out,of,358
came_up,with,358
much_as,i,358
for_him,to,357
not_be,able,357
on_behalf,of,357
are_on,the,356
at_the,beginning,356
but_i,can,356
is_what,i,356
of_the,us,356
that_he,has,356
to_say,i,356
and_have,a,355
back_and,forth,355
grew_up,in,354
head_of,the,354
i_guess,i,354
sides_of,the,354
and_a,few,353
even_though,i,353
for_me,and,353
for_some,reason,353
he_is,not,353
so_if,you,353
the_obama,administration,353
a_few,more,352
but_we,are,352
on_the,first,352
the_first,quarter,352
he_was,in,351
is_a,little,351
last_year,and,351
nothing_to,do,351
and_we,will,350
as_i,am,350
to_be,honest,350
you_will,have,350
do_with,the,349
early_in,the,349
in_the,right,349
know_that,i,349
seemed_to,be,349
he_would,not,348
chairman_of,the,347
i_am,trying,347
more_likely,to,347
the_form,of,347
what_you,are,347
has_been,the,346
i_know,it,346
on_the,right,346
said_of,the,346
the_most,part,346
this_is,one,346
addition_to,the,345
of_the,national,345
time_of,the,345
was_the,only,345
for_those,of,344
not_need,to,344
that_there,was,344
the_midst,of,344
the_possibility,of,344
the_way,it,344
those_who,are,344
a_great,deal,343
in_the,midst,343
in_the,top,343
none_of,the,343
of_the,night,343
the_same,as,343
to_return,to,343
was_a,good,343
is_just,a,342
the_hands,of,342
to_give,the,342
to_the,state,342
in_response,to,341
in_the,late,341
it_in,a,341
not_wait,to,341
the_world,of,341
to_come,to,341
a_way,that,340
back_on,the,340
have_a,great,340
in_the,car,340
out_to,the,340
to_the,us,340
went_on,to,340
and_you,are,339
the_value,of,339
want_to,know,339
and_that,he,338
at_the,bottom,338
in_my,opinion,338
might_have,been,338
not_know,if,338
what_i,was,338
i_dont,want,337
if_you,would,337
in_the,day,337
not_seem,to,337
over_to,the,337
to_a,new,337
turned_out,to,337
it_has,a,336
less_than,a,336
of_the,story,336
the_supreme,court,336
an_effort,to,335
for_a,couple,335
st_louis,county,335
to_go,out,335
was_a,bit,335
because_of,a,334
few_years,ago,334
have_a,good,334
to_the,city,334
what_we,are,334
of_the,past,333
couple_of,years,332
get_back,to,332
i_made,a,332
is_such,a,332
not_the,only,332
out_of,his,332
seems_to,have,332
that_did,not,332
to_know,what,332
you_have,been,332
even_if,it,331
it_is,an,331
said_she,was,331
and_when,i,330
and_you,have,330
going_to,go,330
have_to,make,330
it_is,also,330
of_new,york,330
she_does,not,330
that_would,have,330
the_fourth,quarter,330
those_who,have,330
will_be,held,330
as_it,was,329
declined_to,comment,329
in_my,head,329
not_have,been,329
not_in,the,329
fact_that,the,328
the_first,two,328
the_life,of,328
to_one,of,328
told_me,that,328
about_percent,of,327
later_in,the,327
looking_at,the,327
not_have,any,327
and_try,to,326
because_i,have,326
from_am,to,326
know_what,i,326
start_of,the,326
for_the,second,325
lot_of,the,325
will_also,be,325
every_time,i,324
going_to,the,324
he_is,the,324
i_am,also,324
i_can,see,324
in_the,fall,323
more_than,one,323
said_he,had,323
so_i,was,323
the_loss,of,323
wanted_to,do,323
all_of,these,322
am_not,a,322
but_did,not,322
get_rid,of,322
had_a,great,322
i_had,not,322
if_i,could,322
likely_to,be,322
new_york,and,322
out_of,it,322
and_then,the,321
at_that,time,321
on_the,internet,321
i_felt,like,320
said_we,are,320
the_risk,of,320
were_in,the,320
who_want,to,320
a_good,idea,319
contributed_to,this,319
i_am,pretty,319
i_still,have,319
need_to,get,319
there_is,an,319
while_i,was,319
who_have,been,319
do_not,even,318
i_was,just,318
it_been,a,318
if_you,dont,317
make_sure,that,317
of_you,who,317
people_who,have,317
the_best,way,317
there_are,so,317
to_leave,the,317
an_attempt,to,316
because_i,was,316
deal_with,the,316
even_though,the,316
friends_and,family,316
it_turns,out,316
of_the,united,316
on_the,side,316
so_that,i,316
the_quality,of,316
will_need,to,316
able_to,do,315
and_as,a,315
i_am,looking,315
of_their,own,315
only_a,few,315
the_past,year,315
the_price,of,315
the_head,of,314
the_th,century,314
and_i,did,313
family_and,friends,313
there_is,nothing,313
all_kinds,of,312
all_of,my,312
and_it,will,312
are_so,many,312
in_his,first,312
in_my,mind,312
in_the,kitchen,312
the_board,of,312
the_city,and,312
time_of,year,312
a_very,good,311
been_in,the,311
in_the,uk,311
so_it,was,311
the_edge,of,311
there_would,be,311
think_i,am,311
a_copy,of,310
at_this,time,310
in_an,email,310
in_and,out,310
just_do,not,310
many_of,them,310
a_trip,to,309
am_not,going,309
i_have,done,309
i_like,the,309
the_help,of,309
the_need,for,309
a_few,hours,308
all_sorts,of,308
feel_free,to,308
i_think,they,308
it_turned,out,308
me_in,the,308
the_one,who,308
the_regular,season,308
the_sound,of,308
up_at,the,308
we_all,know,308
with_a,little,308
with_a,new,308
have_to,get,307
the_last,years,307
the_lives,of,307
be_part,of,306
beginning_of,the,306
had_no,idea,306
have_been,the,306
he_had,to,306
i_have,found,306
next_to,the,306
to_listen,to,306
to_think,of,306
goal_is,to,305
have_got,a,305
in_which,he,305
is_a,big,305
some_of,these,305
that_was,not,305
the_people,of,305
to_see,it,305
was_born,in,305
can_be,found,304
it_was,like,304
that_it,will,304
and_had,a,303
in_the,form,303
return_to,the,303
so_much,more,303
the_type,of,303
a_kind,of,302
and_has,been,302
but_he,was,302
each_other,and,302
the_problem,is,302
was_at,the,302
we_will,have,302
give_it,a,301
i_have,the,301
in_the,book,301
of_the,top,301
the_time,and,301
there_were,no,301
to_come,up,301
had_not,been,300
i_have,made,300
is_scheduled,to,300
last_year,the,300
to_come,back,300
you_can,also,300
a_fan,of,299
all_of,you,299
along_with,a,299
in_the,nation,299
in_the,summer,299
what_is,the,299
with_a,few,299
world_war,ii,299
am_trying,to,298
going_to,make,298
other_side,of,298
the_son,of,298
they_would,be,298
this_year,the,298
and_lots,of,297
as_they,are,297
is_a,lot,297
it_had,been,297
it_seems,to,297
it_was,time,297
the_result,of,297
to_share,with,297
years_in,prison,297
and_there,was,296
come_to,the,296
i_would,say,296
is_no,longer,296
this_year,and,296
when_they,were,296
will_be,on,296
and_i,love,295
as_good,as,295
even_if,you,295
for_the,new,295
gov_chris,christie,295
of_the,american,295
so_i,will,295
spokesman_for,the,295
years_ago,and,295
you_will,see,295
and_we,were,294
did_not,even,294
has_become,a,294
here_in,the,294
i_dont,have,294
if_we,are,294
it_would,not,294
say_that,i,294
the_role,of,294
this_will,be,294
to_me,i,294
to_worry,about,294
a_long,way,293
earlier_this,month,293
has_been,in,293
it_and,i,293
much_of,a,293
now_i,have,293
salt_and,pepper,293
the_us,and,293
think_about,it,293
to_go,with,293
be_the,first,292
first_time,i,292
has_always,been,292
it_time,to,292
more_of,the,292
most_of,them,292
the_list,of,292
to_the,new,292
when_i,first,292
earlier_in,the,291
going_to,take,291
i_love,you,291
over_the,weekend,291
there_has,been,291
they_are,a,291
to_see,that,291
trying_to,make,291
and_i,just,290
are_able,to,290
as_many,as,290
i_am,doing,290
know_what,to,290
like_to,see,290
of_them,are,290
said_he,has,290
she_said,i,290
the_front,of,290
there_is,not,290
time_for,the,290
to_those,who,290
we_have,not,290
for_most,of,289
not_so,much,289
to_ensure,that,289
when_i,got,289
in_the,room,288
me_i,am,288
than_a,year,288
the_way,of,288
was_just,a,288
and_all,of,287
and_some,of,287
and_the,rest,287
it_was,in,287
might_not,be,287
more_than,two,287
out_how,to,287
these_are,the,287
to_all,of,287
up_to,a,287
and_that,was,286
as_a,whole,286
i_love,to,286
right_now,i,286
that_you,will,286
the_difference,between,286
the_house,and,286
there_are,two,286
to_change,the,286
a_lack,of,285
as_opposed,to,285
do_not,see,285
in_fact,the,285
lot_of,time,285
of_the,month,285
we_will,see,285
did_not,think,284
does_not,want,284
i_get,to,284
in_the,league,284
is_a,bit,284
of_the,great,284
that_i,did,284
the_time,the,284
to_believe,that,284
to_participate,in,284
to_think,that,284
which_is,the,284
aware_of,the,283
but_at,the,283
in_charge,of,283
is_supposed,to,283
make_sure,you,283
millions_of,dollars,283
view_of,the,283
you_get,the,283
a_ton,of,282
i_love,it,282
in_such,a,282
it_was,all,282
may_be,a,282
meant_to,be,282
of_the,law,282
we_decided,to,282
be_used,to,281
thanks_to,the,281
the_subject,of,281
to_get,my,281
to_say,the,281
was_a,very,281
you_have,the,281
can_see,the,280
do_the,same,280
had_to,go,280
im_not,sure,280
on_their,own,280
part_of,my,280
they_are,in,280
to_help,the,280
but_do,not,279
for_many,years,279
if_you,were,279
it_seems,that,279
like_i,am,279
take_a,look,279
to_live,in,279
was_in,a,279
who_did,not,279
just_wanted,to,278
to_get,into,278
to_give,up,278
a_good,time,277
do_not,care,277
for_years,and,277
had_a,lot,277
on_the,table,277
that_could,be,277
they_can,not,277
to_the,hospital,277
couple_of,days,276
if_i,was,276
is_likely,to,276
point_of,view,276
the_way,we,276
we_wanted,to,276
are_supposed,to,275
focus_on,the,275
i_can,get,275
of_what,i,275
the_whole,thing,275
as_i,can,274
can_not,get,274
have_never,been,274
here_are,the,274
i_just,want,274
is_all,about,274
it_but,i,274
like_to,be,274
portion_of,the,274
the_presence,of,274
i_knew,i,273
might_be,a,273
my_husband,and,273
said_i,think,273
tell_you,that,273
this_week,i,273
to_give,it,273
to_go,on,273
to_the,world,273
you_did,not,273
that_if,you,272
to_the,other,272
with_the,same,272
can_be,used,271
he_said,we,271
i_am,happy,271
of_some,of,271
thought_it,would,271
to_each,other,271
to_make,this,271
trip_to,the,271
united_states,and,271
are_a,lot,270
do_not,believe,270
do_not,forget,270
going_to,happen,270
had_to,do,270
in_a,new,270
it_not,a,270
the_man,who,270
across_the,street,269
at_the,start,269
familiar_with,the,269
of_the,nation,269
play_in,the,269
to_get,in,269
i_am,glad,268
i_believe,that,268
in_your,life,268
said_this,is,268
the_first,to,268
this_is,where,268
to_do,and,268
what_we,have,268
a_few,times,267
i_should,have,267
if_i,can,267
it_is,so,267
little_more,than,267
not_be,a,267
to_check,out,267
a_hard,time,266
and_they,were,266
are_not,the,266
as_for,the,266
black_and,white,266
do_not,you,266
is_not,just,266
me_and,my,266
to_play,with,266
and_that,it,265
best_way,to,265
but_you,can,265
dont_have,to,265
i_got,the,265
is_not,an,265
on_the,day,265
ready_to,go,265
said_they,were,265
that_do,not,265
thing_to,do,265
to_write,a,265
and_so,on,264
and_they,have,264
how_much,i,264
is_that,they,264
more_than,just,264
one_of,their,264
one_or,two,264
role_in,the,264
the_first,thing,264
the_way,he,264
they_are,all,264
this_one,is,264
to_go,through,264
to_play,in,264
you_can,use,264
and_i,were,263
but_it,does,263
control_of,the,263
history_of,the,263
of_his,own,263
of_those,who,263
that_they,will,263
he_will,not,262
in_on,the,262
of_new,jersey,262
them_to,the,262
think_it,was,262
to_have,an,262
to_the,end,262
but_i,would,261
i_told,him,261
in_exchange,for,261
may_be,the,261
of_the,three,261
out_there,and,261
said_we,have,261
to_be,one,261
to_do,what,261
but_there,was,260
depending_on,the,260
here_are,a,260
left_in,the,260
more_than,percent,260
of_the,film,260
on_the,front,260
some_of,his,260
take_advantage,of,260
the_past,years,260
the_third,quarter,260
to_buy,a,260
to_new,york,260
we_have,the,260
a_combination,of,259
and_a,lot,259
what_are,you,259
which_is,why,259
years_ago,i,259
have_to,wait,258
if_they,were,258
many_of,us,258
said_that,he,258
the_first,day,258
the_nature,of,258
time_to,get,258
to_the,ground,258
who_had,been,258
and_a,little,257
appeared_to,be,257
i_will,never,257
in_the,coming,257
is_based,on,257
is_not,going,257
just_a,little,257
not_sure,if,257
out_for,the,257
the_things,i,257
when_we,were,257
are_some,of,256
be_a,little,256
center_of,the,256
in_fact,i,256
in_this,country,256
instead_of,the,256
a_mix,of,255
do_not,really,255
