moosh,out,n
one_of,the,8627
a_lot,of,7074
i_do,not,6452
as_well,as,3791
some_of,the,3710
to_be,a,3667
out_of,the,3606
the_end,of,3590
i_am,not,3562
i_have,been,3415
it_was,a,3274
part_of,the,3167
be_able,to,3139
going_to,be,3019
i_did,not,2915
a_couple,of,2665
if_you,are,2566
the_rest,of,2550
this_is,a,2508
i_want,to,2358
the_first,time,2346
end_of,the,2310
there_is,a,2283
the_fact,that,2278
are_going,to,2273
in_the,first,2196
according_to,the,2154
do_not,know,2152
do_not,have,2099
the_united,states,2084
and_i,am,2062
you_do,not,2053
i_can,not,2040
most_of,the,2040
at_the,end,2017
it_is,a,1997
this_is,the,1968
it_would,be,1941
is_one,of,1925
there_is,no,1876
not_want,to,1870
i_have,to,1862
for_the,first,1840
i_have,a,1830
you_have,to,1821
all_of,the,1801
in_front,of,1720
in_order,to,1702
to_have,a,1663
you_want,to,1663
is_going,to,1647
would_like,to,1644
i_wanted,to,1634
at_the,time,1627
rest_of,the,1612
to_be,the,1607
in_the,past,1598
in_the,world,1594
i_had,to,1589
i_will,be,1573
that_i,have,1543
of_the,year,1540
back_to,the,1533
if_you,have,1533
it_was,not,1528
a_bit,of,1524
one_of,my,1519
i_am,going,1516
to_make,a,1495
that_i,am,1489
it_will,be,1484
of_the,most,1480
not_going,to,1461
it_is,not,1435
and_i,have,1427
when_i,was,1417
i_am,a,1414
as_much,as,1406
will_not,be,1405
am_going,to,1392
was_going,to,1375
there_was,a,1365
but_i,am,1357
it_was,the,1356
do_not,want,1353
more_than,a,1348
at_the,same,1347
the_same,time,1343
to_do,with,1332
they_do,not,1331
because_of,the,1323
is_not,a,1315
we_do,not,1305
i_had,a,1303
i_think,it,1302
one_of,those,1298
he_did,not,1292
it_does,not,1288
to_go,to,1277
the_number,of,1253
a_little,bit,1249
in_the,middle,1228
do_not,think,1227
and_it,was,1224
a_number,of,1204
have_to,be,1200
i_think,i,1199
as_part,of,1185
side_of,the,1184
would_have,been,1184
in_the,s,1181
want_to,be,1180
the_university,of,1174
of_the,world,1167
to_get,a,1166
said_in,a,1164
to_make,the,1160
i_have,not,1156
on_the,other,1149
when_it,comes,1143
i_could,not,1132
this_is,not,1131
to_get,the,1130
in_new,york,1127
to_see,the,1125
did_not,have,1111
would_be,a,1105
i_need,to,1097
not_have,to,1097
was_one,of,1083
will_be,a,1083
that_it,was,1080
it_comes,to,1077
as_long,as,1064
the_top,of,1061
they_are,not,1061
in_the,same,1059
to_make,sure,1056
in_the,last,1054
but_it,was,1053
to_make,it,1052
a_chance,to,1051
it_is,the,1051
in_addition,to,1045
the_middle,of,1045
will_have,to,1036
there_will,be,1033
and_i,was,1032
i_decided,to,1029
in_the,us,1027
we_need,to,1017
i_am,sure,1014
in_the,second,1014
i_would,have,1012
many_of,the,1005
that_it,is,1004
you_can,not,1002
has_been,a,994
i_was,not,984
the_new,york,984
to_take,a,983
percent_of,the,979
we_have,a,976
look_at,the,967
of_the,day,965
that_he,was,965
we_are,not,963
a_long,time,960
members_of,the,955
that_i,was,950
part_of,a,948
we_have,to,947
need_to,be,940
to_be,in,939
of_the,season,938
i_am,so,936
you_have,a,934
i_would,like,933
there_was,no,930
and_in,the,927
to_be,able,927
if_you,want,923
top_of,the,920
we_are,going,919
but_it,is,918
up_in,the,918
to_do,it,915
that_they,are,914
up_to,the,912
he_said,he,911
you_need,to,905
he_was,a,900
at_a,time,895
was_able,to,895
is_not,the,891
for_me,to,889
member_of,the,883
according_to,a,880
a_series,of,879
when_he,was,879
said_he,was,877
to_say,that,877
is_in,the,876
a_way,to,873
it_has,been,873
as_a,result,872
i_was,a,870
director_of,the,862
go_to,the,862
all_the,time,861
for_a,while,859
is_expected,to,858
a_part,of,856
in_the,united,855
and_it,is,851
if_you,do,851
as_soon,as,850
he_does,not,848
did_not,know,847
we_have,been,847
not_have,a,845
over_the,past,845
in_the,end,837
of_the,best,834
at_this,point,833
you_can,see,833
in_terms,of,831
the_back,of,831
of_the,new,824
did_not,want,822
a_group,of,821
a_little,more,820
in_a,statement,816
i_dont,know,815
much_of,the,813
over_the,years,812
that_we,are,810
and_i,will,809
seems_to,be,806
would_not,be,803
was_in,the,802
you_are,not,802
i_think,that,801
the_idea,of,796
a_variety,of,795
but_i,have,794
of_the,first,794
would_have,to,794
he_said,the,791
i_have,never,789
away_from,the,787
for_a,few,779
and_i,think,777
i_have,had,769
i_know,i,768
it_in,the,763
on_top,of,759
i_know,that,753
the_kind,of,752
i_went,to,748
as_far,as,747
it_did,not,747
and_we,are,746
will_be,the,745
all_over,the,742
have_been,a,741
in_the,state,738
the_bottom,of,734
to_find,a,734
we_want,to,734
a_member,of,733
president_of,the,732
the_opportunity,to,732
in_the,country,731
to_try,to,728
by_the,time,727
i_have,no,725
when_you,are,725
i_was,in,724
looking_forward,to,724
in_my,life,723
i_would,be,722
does_not,have,721
going_to,have,720
i_feel,like,716
was_the,first,716
said_it,was,715
i_would,not,714
a_few,years,712
i_think,the,712
is_that,the,710
back_in,the,708
so_i,am,708
but_i,do,704
we_had,a,704
for_the,next,702
one_of,them,698
and_of,course,697
needs_to,be,696
to_get,to,696
of_the,state,695
such_as,the,695
i_thought,i,694
in_the,city,694
and_they,are,692
for_more,than,692
new_york,city,692
that_i,would,691
he_was,not,690
that_we,have,689
they_did,not,689
that_would,be,687
but_i,think,685
there_are,a,684
come_up,with,683
i_love,the,682
the_beginning,of,682
front_of,the,679
that_there,is,678
to_keep,the,678
in_the,morning,677
in_the,next,677
a_few,days,675
of_the,time,675
that_i,had,675
been_able,to,673
that_does,not,673
based_on,the,671
to_deal,with,670
have_to,do,669
i_will,not,658
went_to,the,657
to_do,so,656
we_did,not,656
it_to,the,654
of_all,the,654
out_in,the,653
supposed_to,be,652
you_will,be,652
i_am,still,651
what_do,you,651
more_than,million,648
has_not,been,646
the_use,of,643
and_if,you,638
not_have,the,638
up_with,a,637
any_of,the,634
a_pair,of,633
we_will,be,633
be_in,the,626
the_name,of,626
by_the,end,625
the_block,of,625
it_can,be,624
that_i,can,624
to_look,at,624
of_the,city,623
a_year,ago,622
to_see,what,622
that_you,can,620
to_see,if,618
were_going,to,618
have_not,been,616
at_least,one,613
i_am,just,612
this_is,what,612
will_be,able,611
in_the,future,610
is_a,great,610
a_bunch,of,607
am_not,sure,607
all_the,way,606
around_the,world,606
out_to,be,604
to_create,a,604
to_take,the,604
a_few,weeks,603
to_find,out,603
is_a,good,602
they_want,to,602
the_next,day,600
you_are,a,600
a_lot,more,599
he_said,i,599
are_in,the,598
bit_of,a,598
in_the,early,598
of_the,game,598
that_this,is,598
the_other,hand,597
to_figure,out,595
