out,odds
the,0.05412690822575278
and,0.027876186332199078
to,0.027828028619656428
a,0.025104473908151344
of,0.02327849397424261
in,0.017902393570511013
i,0.014561711936804994
that,0.011870640074544362
is,0.010339035961913481
it,0.010145319202538496
