moosh,out,n
that_i_did,not,179
the_heart_of,the,179
to_be_on,the,179
should_be_able,to,178
to_the_fact,that,178
you_have_to,be,178
you_have_to,do,178
do_not_think,it,177
i_am_looking,forward,177
i_went_to,the,177
one_of_the,biggest,177
would_like_to,see,177
all_over_the,world,176
and_i_can,not,176
be_able_to,get,176
for_more_than,a,176
i_am_pretty,sure,175
in_front_of,a,174
that_i_have,been,174
a_couple_of,days,173
i_thought_it,would,173
you_can_see,the,173
fell_in_love,with,172
hundreds_of_thousands,of,172
the_past_two,years,172
in_the_history,of,171
i_will_have,to,170
in_front_of,me,170
it_was_a,great,170
tens_of_thousands,of,170
the_past_few,years,170
in_the_third,quarter,169
it_was_one,of,169
the_state_department,of,169
all_the_way,to,168
i_want_to,do,168
i_wanted_to,be,168
over_and_over,again,168
i_can_not,believe,167
i_had_no,idea,167
the_last_couple,of,167
was_not_going,to,167
i_would_have,to,166
my_husband_and,i,166
out_to_be,a,166
the_end_of,this,166
of_some_of,the,165
there_are_plenty,of,165
did_not_have,the,164
it_has_been,a,164
said_i_do,not,164
the_history_of,the,164
to_the_point,where,164
i_just_wanted,to,163
in_the_same,way,163
it_does_not,matter,163
on_the_back,of,163
to_get_back,to,163
to_share_with,you,163
we_do_not,know,163
you_are_looking,for,163
on_the_side,of,162
the_only_way,to,162
by_the_time,i,161
had_a_chance,to,161
figure_out_how,to,160
out_of_the,way,160
to_take_advantage,of,160
as_a_way,to,159
did_not_have,to,159
is_expected_to,be,159
once_in_a,while,159
the_us_department,of,159
and_the_fact,that,158
in_the_hands,of,158
over_the_past,few,158
the_head_of,the,158
would_have_to,be,158
and_i_have,to,157
are_some_of,the,157
get_out_of,the,157
not_have_to,be,157
the_majority_of,the,157
this_is_going,to,157
was_supposed_to,be,157
what_was_going,on,157
does_not_have,a,156
it_will_not,be,156
that_there_is,no,156
not_been_able,to,155
the_size_of,the,155
this_is_what,i,155
to_be_a,part,155
to_look_at,the,155
you_will_have,to,155
a_look_at,the,154
as_far_as,i,154
i_was_in,the,154
the_edge_of,the,154
i_think_it,is,153
there_a_lot,of,153
will_not_be,able,153
a_lot_of,work,152
i_am_so,excited,152
i_do_not,really,152
i_will_not,be,152
a_lot_of,money,151
all_over_the,place,151
is_a_lot,of,151
to_the_top,of,151
it_is_important,to,150
with_some_of,the,150
with_the_exception,of,150
could_not_be,reached,149
for_most_of,the,149
have_a_chance,to,149
it_was_going,to,149
on_the_way,to,149
one_of_the,reasons,149
player_of_the,year,149
i_was_a,little,148
what_to_do,with,148
you_want_to,be,148
am_going_to,be,147
i_wish_i,could,147
open_to_the,public,147
to_figure_out,how,147
to_one_of,the,147
we_have_got,to,147
a_result_of,the,146
does_not_have,to,146
for_more_than,years,146
he_did_not,know,145
i_do_not,care,145
let_me_tell,you,145
the_only_thing,that,145
have_to_do,is,144
i_have_never,been,144
i_think_i,will,144
if_they_do,not,144
in_the_right,direction,144
that_does_not,mean,144
the_last_few,years,144
was_one_of,those,144
feel_like_i,am,143
in_a_lot,of,143
and_i_want,to,142
in_the_bottom,of,142
that_it_would,be,142
we_were_able,to,142
despite_the_fact,that,141
going_to_be,the,141
it_was_not,a,141
those_of_us,who,141
we_would_like,to,141
but_that_does,not,140
in_the_center,of,140
that_one_of,the,140
the_number_of,people,140
the_rest_of,my,140
to_deal_with,the,140
but_it_was,not,139
have_been_trying,to,139
i_can_tell,you,139
i_felt_like,i,139
i_think_it,was,139
i_was_trying,to,139
if_you_are,in,139
it_is_time,to,139
the_th_anniversary,of,139
there_is_a,lot,139
you_know_what,i,139
a_wide_range,of,138
and_i_think,it,138
do_not_have,any,138
of_the_things,that,138
that_this_is,a,138
a_few_months,ago,137
but_i_can,not,137
i_have_had,a,137
to_give_it,a,137
we_were_going,to,137
and_it_was,a,136
at_the_expense,of,136
i_am_in,the,136
may_or_may,not,136
for_a_few,days,135
for_a_few,minutes,135
for_a_lot,of,135
i_just_do,not,135
it_was_a,good,135
more_than_percent,of,135
the_way_to,the,135
would_have_been,a,135
be_able_to,do,134
i_do_not,even,134
to_the_end,of,134
was_a_lot,of,134
as_long_as,you,133
i_did_not,get,133
on_a_daily,basis,133
the_middle_of,a,133
we_do_not,want,133
when_it_came,to,133
did_not_respond,to,132
do_not_know,why,132
i_have_to,admit,132
i_think_i,have,132
know_what_to,do,132
more_than_million,in,132
square_feet_on,for,132
that_it_was,a,132
when_i_was,in,132
would_be_a,good,132
a_whole_lot,of,131
be_part_of,the,131
have_the_opportunity,to,131
if_you_are,looking,131
in_a_couple,of,131
it_one_of,the,131
so_i_do,not,131
a_little_more,than,130
and_some_of,the,130
has_nothing_to,do,130
he_and_his,wife,130
i_dont_know,what,130
i_have_a,lot,130
i_would_not,be,130
in_the_last,few,130
more_than_a,decade,130
on_both_sides,of,130
rest_of_the,world,130
that_a_lot,of,130
the_end_of,a,130
the_fact_that,he,130
the_fact_that,it,130
the_first_day,of,130
the_first_half,of,130
you_do_not,need,130
i_did_not,think,129
i_have_been,a,129
is_supposed_to,be,129
on_a_regular,basis,129
this_is_a,great,129
we_are_trying,to,129
about_percent_of,the,128
and_i_will,be,128
i_dont_know,if,128
i_think_this,is,128
in_the_second,quarter,128
it_is_hard,to,128
not_know_how,to,128
one_of_the,many,128
this_is_a,very,128
to_keep_up,with,128
you_dont_have,to,128
for_more_information,call,127
i_have_been,working,127
in_the_us,and,127
its_going_to,be,127
said_in_an,email,127
the_last_time,i,127
with_salt_and,pepper,127
a_couple_of,times,126
be_reached_for,comment,126
because_i_do,not,126
from_the_university,of,126
i_have_been,in,126
something_to_do,with,126
the_last_two,years,126
at_the_very,least,125
i_do_not,see,125
in_the_near,future,125
on_behalf_of,the,125
that_he_did,not,125
do_not_forget,to,124
go_back_to,the,124
has_a_lot,of,124
i_really_do,not,124
in_an_interview,with,124
it_has_to,be,124
it_was_just,a,124
the_vast_majority,of,124
told_the_associated,press,124
and_if_you,are,123
are_going_to,get,123
are_more_likely,to,123
i_am_sure,i,123
i_wanted_to,do,123
in_a_variety,of,123
on_the_edge,of,123
the_fact_that,they,123
the_most_important,thing,123
as_long_as,they,122
at_the_time,i,122
but_at_the,same,122
did_not_know,what,122
i_do_not,believe,122
in_the_next,few,122
over_the_past,year,122
the_power_of,the,122
the_president_of,the,122
the_second_half,of,122
to_say_that,i,122
and_i_wanted,to,121
by_the_fact,that,121
g_fat_g,saturated,121
i_have_never,seen,121
i_know_i,am,121
i_know_that,i,121
in_a_series,of,121
it_is_not,a,121
on_the_verge,of,121
we_are_not,going,121
as_long_as,i,120
do_you_want,to,120
i_would_not,have,120
in_the_long,run,120
in_the_morning,and,120
one_of_the,greatest,120
one_of_the,top,120
over_the_next,few,120
seems_to_be,a,120
to_figure_out,what,120
to_say_the,least,120
going_to_have,a,119
have_to_worry,about,119
i_have_ever,seen,119
is_the_first,time,119
to_find_out,what,119
to_the_point,of,119
would_not_have,been,119
you_will_need,to,119
at_the_center,of,118
declined_to_comment,on,118
does_not_have,the,118
i_am_so,glad,118
in_connection_with,the,118
in_item_c,above,118
what_is_going,on,118
with_the_rest,of,118
you_are_in,the,118
dow_jones_industrial,average,117
if_you_are,interested,117
it_comes_to,the,117
the_course_of,the,117
the_next_few,days,117
to_be_a,good,117
to_play_in,the,117
but_it_is,not,116
did_you_know,that,116
for_as_long,as,116
from_all_over,the,116
i_am_happy,to,116
i_have_decided,to,116
if_i_do,not,116
if_you_can,not,116
in_love_with,the,116
in_the_heart,of,116
it_used_to,be,116
one_of_the,largest,116
to_do_the,same,116
to_years_in,prison,116
have_no_idea,what,115
i_do_not,need,115
in_order_to,get,115
more_than_a,dozen,115
on_the_part,of,115
that_they_are,not,115
there_is_no,way,115
to_find_a,way,115
but_it_does,not,114
for_a_while,and,114
i_am_talking,about,114
i_am_working,on,114
i_think_we,are,114
not_being_able,to,114
said_it_was,a,114
there_will_be,no,114
are_looking_for,a,113
at_the_heart,of,113
but_i_think,it,113
couple_of_weeks,ago,113
in_the_st,louis,113
a_trip_to,the,112
and_a_couple,of,112
and_i_am,so,112
and_i_have,a,112
and_of_course,the,112
are_you_going,to,112
at_this_point,i,112
but_in_the,end,112
for_all_of,us,112
have_been_working,on,112
in_a_large,bowl,112
incorporated_in_item,c,112
of_the_th,century,112
the_dow_jones,industrial,112
the_only_thing,i,112
they_were_going,to,112
a_chance_to,win,111
a_copy_of,the,111
as_much_as,possible,111
i_am_a,little,111
i_am_sure,you,111
i_didnt_want,to,111
i_have_not,had,111
i_will_tell,you,111
im_not_going,to,111
might_be_able,to,111
not_be_reached,for,111
of_the_new,york,111
on_one_of,the,111
the_national_weather,service,111
the_wall_street,journal,111
to_comment_on,the,111
a_little_bit,more,110
and_i_could,not,110
are_going_to,do,110
as_a_matter,of,110
as_soon_as,possible,110
have_the_right,to,110
he_said_he,was,110
i_have_always,been,110
i_thought_i,was,110
it_is_one,of,110
it_was_a,very,110
not_to_mention,the,110
of_the_block,of,110
so_i_had,to,110
thank_you_so,much,110
that_i_want,to,110
they_do_not,want,110
a_friend_of,mine,109
and_i_think,that,109
i_have_got,to,109
it_could_have,been,109
that_i_had,to,109
the_problem_is,that,109
to_learn_how,to,109
up_and_down,the,109
with_a_bit,of,109
and_i_am,sure,108
can_not_help,but,108
do_not_get,me,108
he_was_able,to,108
i_did_not,even,108
if_you_have,any,108
in_the_city,of,108
the_day_of,the,108
the_size_of,a,108
there_is_so,much,108
to_learn_more,about,108
and_out_of,the,107
do_not_know,the,107
going_to_try,to,107
has_to_do,with,107
have_not_been,able,107
he_said_it,was,107
i_do_not,get,107
i_have_been,doing,107
i_know_i,have,107
if_you_are,going,107
